Date,Closing Price,Pair
5/22/02,0.634,EUR_GBP
5/23/02,0.6332,EUR_GBP
5/24/02,0.6312,EUR_GBP
5/27/02,0.6315,EUR_GBP
5/28/02,0.6362,EUR_GBP
5/29/02,0.6393,EUR_GBP
5/30/02,0.6393,EUR_GBP
5/31/02,0.6424,EUR_GBP
6/03/02,0.6434,EUR_GBP
6/04/02,0.6441,EUR_GBP
6/05/02,0.6436,EUR_GBP
6/06/02,0.6487,EUR_GBP
6/07/02,0.6462,EUR_GBP
6/10/02,0.6467,EUR_GBP
6/11/02,0.6444,EUR_GBP
6/12/02,0.6413,EUR_GBP
6/13/02,0.6409,EUR_GBP
6/14/02,0.6405,EUR_GBP
6/17/02,0.6382,EUR_GBP
6/18/02,0.6385,EUR_GBP
6/19/02,0.642,EUR_GBP
6/20/02,0.644,EUR_GBP
6/21/02,0.6483,EUR_GBP
6/24/02,0.6464,EUR_GBP
6/25/02,0.6496,EUR_GBP
6/26/02,0.6434,EUR_GBP
6/27/02,0.6462,EUR_GBP
6/28/02,0.6467,EUR_GBP
7/01/02,0.6472,EUR_GBP
7/02/02,0.6423,EUR_GBP
7/03/02,0.6423,EUR_GBP
7/04/02,0.6416,EUR_GBP
7/05/02,0.6387,EUR_GBP
7/08/02,0.6418,EUR_GBP
7/09/02,0.6418,EUR_GBP
7/10/02,0.6387,EUR_GBP
7/11/02,0.6359,EUR_GBP
7/12/02,0.6376,EUR_GBP
7/15/02,0.6387,EUR_GBP
7/16/02,0.6421,EUR_GBP
7/17/02,0.6416,EUR_GBP
7/18/02,0.643,EUR_GBP
7/19/02,0.6416,EUR_GBP
7/22/02,0.6381,EUR_GBP
7/23/02,0.6325,EUR_GBP
7/24/02,0.633,EUR_GBP
7/25/02,0.6341,EUR_GBP
7/26/02,0.6299,EUR_GBP
7/29/02,0.6274,EUR_GBP
7/30/02,0.6246,EUR_GBP
7/31/02,0.6253,EUR_GBP
8/01/02,0.6305,EUR_GBP
8/02/02,0.6289,EUR_GBP
8/05/02,0.628,EUR_GBP
8/06/02,0.6284,EUR_GBP
8/07/02,0.6333,EUR_GBP
8/08/02,0.6317,EUR_GBP
8/09/02,0.6363,EUR_GBP
8/12/02,0.639,EUR_GBP
8/13/02,0.64,EUR_GBP
8/14/02,0.6375,EUR_GBP
8/15/02,0.6393,EUR_GBP
8/16/02,0.6397,EUR_GBP
8/19/02,0.6394,EUR_GBP
8/20/02,0.6401,EUR_GBP
8/21/02,0.6405,EUR_GBP
8/22/02,0.637,EUR_GBP
8/23/02,0.6396,EUR_GBP
8/26/02,0.6387,EUR_GBP
8/27/02,0.6406,EUR_GBP
8/28/02,0.6384,EUR_GBP
8/29/02,0.6358,EUR_GBP
8/30/02,0.6337,EUR_GBP
9/02/02,0.6359,EUR_GBP
9/03/02,0.6371,EUR_GBP
9/04/02,0.6341,EUR_GBP
9/05/02,0.6327,EUR_GBP
9/06/02,0.6288,EUR_GBP
9/09/02,0.6291,EUR_GBP
9/10/02,0.6271,EUR_GBP
9/11/02,0.6282,EUR_GBP
9/12/02,0.629,EUR_GBP
9/13/02,0.6264,EUR_GBP
9/16/02,0.6285,EUR_GBP
9/17/02,0.6321,EUR_GBP
9/18/02,0.6307,EUR_GBP
9/19/02,0.634,EUR_GBP
9/20/02,0.6319,EUR_GBP
9/23/02,0.631,EUR_GBP
9/24/02,0.6299,EUR_GBP
9/25/02,0.6271,EUR_GBP
9/26/02,0.6271,EUR_GBP
9/27/02,0.6282,EUR_GBP
9/30/02,0.6291,EUR_GBP
10/01/02,0.6277,EUR_GBP
10/02/02,0.6283,EUR_GBP
10/03/02,0.6291,EUR_GBP
10/04/02,0.6255,EUR_GBP
10/07/02,0.6275,EUR_GBP
10/08/02,0.6301,EUR_GBP
